"Framework","Reference1","Recommendation1","Reference2","Recommendation2","Similarity"
"IFRS S2","IFRS S2 13","An entity shall disclose information that enables users of general purpose financial reports to understand the current and anticipated effects of climate-related risks and opportunities on the entity’s business model and value chain. Specifically, the entity shall disclose:
- (a) a description of the current and anticipated effects of climate-related risks and opportunities on the entity’s business model and value chain; and
- (b) a description of where in the entity’s business model and value chain climate-related risks and opportunities are concentrated (for example, geographical areas, facilities and types of assets).","IFRS S2 15","An entity shall disclose information that enables users of general purpose financial reports to understand:
- (a) the effects of climate-related risks and opportunities on the entity’s financial position, financial performance and cash flows for the reporting period (current financial effects); and
- (b) the anticipated effects of climate-related risks and opportunities on the entity’s financial position, financial performance and cash flows over the short, medium and long term, taking into consideration how climate-related risks and opportunities are included in the entity’s financial planning (anticipated financial effects).",0.4186616544628
"IFRS S2","IFRS S2 16","Specifically, an entity shall disclose quantitative and qualitative information about:
- (a) how climate-related risks and opportunities have affected its financial position, financial performance and cash flows for the reporting period;
- (b) the climate-related risks and opportunities identified in paragraph 16(a) for which there is a significant risk of a material adjustment within the next annual reporting period to the carrying amounts of assets and liabilities reported in the related financial statements;
- (c) how the entity expects its financial position to change over the short, medium and long term, given its strategy to manage climate-related risks and opportunities, taking into consideration:
      (c)i its investment and disposal plans (for example, plans for capital expenditure, major acquisitions and divestments, joint ventures, business transformation, innovation, new business areas, and asset retirements), including plans the entity is not contractually committed to; and
      (c)ii its planned sources of funding to implement its strategy;
- (d) how the entity expects its financial performance and cash flows to change over the short, medium and long term, given its strategy to manage climate-related risks and opportunities (for example, increased revenue from products and services aligned with a lower-carbon economy; costs arising from physical damage to assets from climate events; and expenses associated with climate adaptation or mitigation).","IFRS S2 15","An entity shall disclose information that enables users of general purpose financial reports to understand:
- (a) the effects of climate-related risks and opportunities on the entity’s financial position, financial performance and cash flows for the reporting period (current financial effects); and
- (b) the anticipated effects of climate-related risks and opportunities on the entity’s financial position, financial performance and cash flows over the short, medium and long term, taking into consideration how climate-related risks and opportunities are included in the entity’s financial planning (anticipated financial effects).",0.389768794316364
"TPT","TPT Strategy 2.4","An entity shall, to the extent the financial effects of its transition plan are separately identifiable, disclose information about the effects of its transition plan25 on its financial position, financial performance and cash flows over the short-, medium-, and long-term, including information about how it is resourcing or plans to resource its activities in order to achieve the Strategic Ambition of its transition plan.","IFRS S2 15","An entity shall disclose information that enables users of general purpose financial reports to understand:
- (a) the effects of climate-related risks and opportunities on the entity’s financial position, financial performance and cash flows for the reporting period (current financial effects); and
- (b) the anticipated effects of climate-related risks and opportunities on the entity’s financial position, financial performance and cash flows over the short, medium and long term, taking into consideration how climate-related risks and opportunities are included in the entity’s financial planning (anticipated financial effects).",0.393624836784412
"ESRS E1","ESRS E1 Metrics and Targets 65","The information required by paragraph 64 is in addition to the information on current financial effects required under ESRS 2 SBM-3 para 48 (d). The objective of this Disclosure Requirement related to:
(a) anticipated financial effects due to material physical risks and transition risks is to provide an understanding of how these risks have (or could reasonably be expected to have) a material influence on the undertaking’s financial position, financial performance and cash flows, over the short-, medium- and long- term. The results of
scenario analysis used to conduct resilience analysis as required under paragraphs AR 10 to AR 13 should inform the assessment of anticipated financial effects from material physical and transition risks.
(b) potential to pursue material climate-related opportunities is to enable an understanding of how the undertaking may financially benefit from material climaterelated opportunities. This disclosure is complementary to the key performance indicators to be disclosed in accordance with Commission Delegated Regulation (EU) 2021/2178.","IFRS S2 15","An entity shall disclose information that enables users of general purpose financial reports to understand:
- (a) the effects of climate-related risks and opportunities on the entity’s financial position, financial performance and cash flows for the reporting period (current financial effects); and
- (b) the anticipated effects of climate-related risks and opportunities on the entity’s financial position, financial performance and cash flows over the short, medium and long term, taking into consideration how climate-related risks and opportunities are included in the entity’s financial planning (anticipated financial effects).",0.400132539876161
"ESRS E4","ESRS E4 Metrics and Targets 43","The information required by paragraph 42 is in addition to the information on current financial effects on the entity’s financial position, financial performance and cash flows for the reporting period required under ESRS 2 SBM-3 para 48 (d).","IFRS S2 15","An entity shall disclose information that enables users of general purpose financial reports to understand:
- (a) the effects of climate-related risks and opportunities on the entity’s financial position, financial performance and cash flows for the reporting period (current financial effects); and
- (b) the anticipated effects of climate-related risks and opportunities on the entity’s financial position, financial performance and cash flows over the short, medium and long term, taking into consideration how climate-related risks and opportunities are included in the entity’s financial planning (anticipated financial effects).",0.519860400939907
"ESRS E4","ESRS E4 Metrics and Targets 44","The objective of this Disclosure Requirement is to provide an understanding of:
a) anticipated financial effects due to material risks arising from biodiversity- and ecosystem-related impacts and dependencies and how these risks have (or could reasonably be expected to have) a material influence on the undertaking’s financial position, financial performance and cash flows over the short-, medium- and long-term; and
b)anticipated financial effects due to material opportunities related to biodiversity- and ecosystem.","IFRS S2 15","An entity shall disclose information that enables users of general purpose financial reports to understand:
- (a) the effects of climate-related risks and opportunities on the entity’s financial position, financial performance and cash flows for the reporting period (current financial effects); and
- (b) the anticipated effects of climate-related risks and opportunities on the entity’s financial position, financial performance and cash flows over the short, medium and long term, taking into consideration how climate-related risks and opportunities are included in the entity’s financial planning (anticipated financial effects).",0.426905866014536
"IFRS S1","IFRS S1 34","An entity shall disclose information that enables users of general purpose financial reports to understand:
- (a) The effects of sustainability-related risks and opportunities on the entity’s financial position, financial performance and cash flows for the reporting period (current financial effects); and
- (b) The anticipated effects of sustainability-related risks and opportunities on the entity’s financial position, financial performance and cash flows over the short, medium and long term, taking into consideration how sustainability-related risks and opportunities are included in the entity’s financial planning (anticipated financial effects).","IFRS S2 16","Specifically, an entity shall disclose quantitative and qualitative information about:
- (a) how climate-related risks and opportunities have affected its financial position, financial performance and cash flows for the reporting period;
- (b) the climate-related risks and opportunities identified in paragraph 16(a) for which there is a significant risk of a material adjustment within the next annual reporting period to the carrying amounts of assets and liabilities reported in the related financial statements;
- (c) how the entity expects its financial position to change over the short, medium and long term, given its strategy to manage climate-related risks and opportunities, taking into consideration:
      (c)i its investment and disposal plans (for example, plans for capital expenditure, major acquisitions and divestments, joint ventures, business transformation, innovation, new business areas, and asset retirements), including plans the entity is not contractually committed to; and
      (c)ii its planned sources of funding to implement its strategy;
- (d) how the entity expects its financial performance and cash flows to change over the short, medium and long term, given its strategy to manage climate-related risks and opportunities (for example, increased revenue from products and services aligned with a lower-carbon economy; costs arising from physical damage to assets from climate events; and expenses associated with climate adaptation or mitigation).",0.354543233543612
"IFRS S1","IFRS S1 35","Specifically, an entity shall disclose quantitative and qualitative information about:
- (a) How sustainability-related risks and opportunities have affected its financial position, financial performance and cash flows for the reporting period;
- (b) The sustainability-related risks and opportunities identified in paragraph 35(a) for which there is a significant risk of a material adjustment within the next annual reporting period to the carrying amounts of assets and liabilities reported in the related financial statements;
- (c) How the entity expects its financial position to change over the short, medium and long term, given its strategy to manage sustainability related risks and opportunities, taking into consideration:
      (c)i Its investment and disposal plans (for example, plans for capital expenditure, major acquisitions and divestments, joint ventures, business transformation, innovation, new business areas, and asset retirements), including plans the entity is not contractually committed to; and
      (c)ii Its planned sources of funding to implement its strategy; and
- (d) How the entity expects its financial performance and cash flows to change over the short, medium and long term, given its strategy to manage sustainability-related risks and opportunities.","IFRS S2 16","Specifically, an entity shall disclose quantitative and qualitative information about:
- (a) how climate-related risks and opportunities have affected its financial position, financial performance and cash flows for the reporting period;
- (b) the climate-related risks and opportunities identified in paragraph 16(a) for which there is a significant risk of a material adjustment within the next annual reporting period to the carrying amounts of assets and liabilities reported in the related financial statements;
- (c) how the entity expects its financial position to change over the short, medium and long term, given its strategy to manage climate-related risks and opportunities, taking into consideration:
      (c)i its investment and disposal plans (for example, plans for capital expenditure, major acquisitions and divestments, joint ventures, business transformation, innovation, new business areas, and asset retirements), including plans the entity is not contractually committed to; and
      (c)ii its planned sources of funding to implement its strategy;
- (d) how the entity expects its financial performance and cash flows to change over the short, medium and long term, given its strategy to manage climate-related risks and opportunities (for example, increased revenue from products and services aligned with a lower-carbon economy; costs arising from physical damage to assets from climate events; and expenses associated with climate adaptation or mitigation).",0.868368934655273
"IFRS S2","IFRS S2 15","An entity shall disclose information that enables users of general purpose financial reports to understand:
- (a) the effects of climate-related risks and opportunities on the entity’s financial position, financial performance and cash flows for the reporting period (current financial effects); and
- (b) the anticipated effects of climate-related risks and opportunities on the entity’s financial position, financial performance and cash flows over the short, medium and long term, taking into consideration how climate-related risks and opportunities are included in the entity’s financial planning (anticipated financial effects).","IFRS S2 16","Specifically, an entity shall disclose quantitative and qualitative information about:
- (a) how climate-related risks and opportunities have affected its financial position, financial performance and cash flows for the reporting period;
- (b) the climate-related risks and opportunities identified in paragraph 16(a) for which there is a significant risk of a material adjustment within the next annual reporting period to the carrying amounts of assets and liabilities reported in the related financial statements;
- (c) how the entity expects its financial position to change over the short, medium and long term, given its strategy to manage climate-related risks and opportunities, taking into consideration:
      (c)i its investment and disposal plans (for example, plans for capital expenditure, major acquisitions and divestments, joint ventures, business transformation, innovation, new business areas, and asset retirements), including plans the entity is not contractually committed to; and
      (c)ii its planned sources of funding to implement its strategy;
- (d) how the entity expects its financial performance and cash flows to change over the short, medium and long term, given its strategy to manage climate-related risks and opportunities (for example, increased revenue from products and services aligned with a lower-carbon economy; costs arising from physical damage to assets from climate events; and expenses associated with climate adaptation or mitigation).",0.389768794316364
"IFRS S1","IFRS S1 36","In providing quantitative information, an entity may disclose a single amount or a range.","IFRS S2 17","In providing quantitative information, an entity may disclose a single amount or a range.",1
"IFRS S1","IFRS S1 41","An entity shall disclose information that enables users of general purpose financial reports to understand its capacity to adjust to the uncertainties arising from sustainability-related risks. An entity shall disclose a qualitative and, if applicable, quantitative assessment of the resilience of its strategy and business model in relation to its sustainability-related risks, including information about how the assessment was carried out and its time horizon. When providing quantitative information, an entity may disclose a single amount or a range.","IFRS S2 17","In providing quantitative information, an entity may disclose a single amount or a range.",0.539433021251131
"IFRS S1","IFRS S1 37","In preparing disclosures about the anticipated financial effects of a sustainability-related risk or opportunity, an entity shall:
- (a) Use all reasonable and supportable information that is available to the entity at the reporting date without undue cost or effort (see paragraphs B8–B10); and
- (b) Use an approach that is commensurate with the skills, capabilities and resources that are available to the entity for preparing those disclosures.","IFRS S2 18","In preparing disclosures about the anticipated financial effects of a climate-related risk or opportunity, an entity shall:
- (a) use all reasonable and supportable information that is available to the entity at the reporting date without undue cost or effort; and
- (b) use an approach that is commensurate with the skills, capabilities and resources that are available to the entity for preparing those disclosures.",0.955883537951636
"IFRS S2","IFRS S2 11","In identifying the climate-related risks and opportunities that could reasonably be expected to affect an entity’s prospects, the entity shall use all reasonable and supportable information that is available to the entity at the reporting date without undue cost or effort, including information about past events, current conditions and forecasts of future conditions.","IFRS S2 18","In preparing disclosures about the anticipated financial effects of a climate-related risk or opportunity, an entity shall:
- (a) use all reasonable and supportable information that is available to the entity at the reporting date without undue cost or effort; and
- (b) use an approach that is commensurate with the skills, capabilities and resources that are available to the entity for preparing those disclosures.",0.485541836018631
"IFRS S2","IFRS S2 30","In preparing disclosures to meet the requirements in paragraph 29(b)–(d), an entity shall use all reasonable and supportable information that is available to the entity at the reporting date without undue cost or effort.","IFRS S2 18","In preparing disclosures about the anticipated financial effects of a climate-related risk or opportunity, an entity shall:
- (a) use all reasonable and supportable information that is available to the entity at the reporting date without undue cost or effort; and
- (b) use an approach that is commensurate with the skills, capabilities and resources that are available to the entity for preparing those disclosures.",0.670624546930276
"IFRS S1","IFRS S1 38","An entity need not provide quantitative information about the current or anticipated financial effects of a sustainability-related risk or opportunity if the entity determines that:
- (a) Those effects are not separately identifiable; or
- (b) The level of measurement uncertainty involved in estimating those effects is so high that the resulting quantitative information would not be useful (see paragraphs 77–82).","IFRS S2 19","An entity need not provide quantitative information about the current or anticipated financial effects of a climate-related risk or opportunity if the entity determines that:
- (a) those effects are not separately identifiable; or
- (b) the level of measurement uncertainty involved in estimating those effects is so high that the resulting quantitative information would not be useful.",0.905934179970717
"IFRS S1","IFRS S1 39","In addition, an entity need not provide quantitative information about the anticipated financial effects of a sustainability-related risk or opportunity if the entity does not have the skills, capabilities or resources to provide that quantitative information.","IFRS S2 19","An entity need not provide quantitative information about the current or anticipated financial effects of a climate-related risk or opportunity if the entity determines that:
- (a) those effects are not separately identifiable; or
- (b) the level of measurement uncertainty involved in estimating those effects is so high that the resulting quantitative information would not be useful.",0.445412324510571
"IFRS S1","IFRS S1 40","If an entity determines that it need not provide quantitative information about the current or anticipated financial effects of a sustainability-related risk or opportunity applying the criteria set out in paragraphs 38–39, the entity shall:
- (a) Explain why it has not provided quantitative information;
- (b) Provide qualitative information about those financial effects, including identifying line items, totals and subtotals within the related financial statements that are likely to be affected, or have been affected, by that sustainability-related risk or opportunity; and
- (c) Provide quantitative information about the combined financial effects of that sustainability-related risk or opportunity with other sustainability-related risks or opportunities and other factors unless the entity determines that quantitative information about the combined financial effects would not be useful.","IFRS S2 19","An entity need not provide quantitative information about the current or anticipated financial effects of a climate-related risk or opportunity if the entity determines that:
- (a) those effects are not separately identifiable; or
- (b) the level of measurement uncertainty involved in estimating those effects is so high that the resulting quantitative information would not be useful.",0.520614180511317
"IFRS S2","IFRS S2 20","In addition, an entity need not provide quantitative information about the anticipated financial effects of a climate-related risk or opportunity if the entity does not have the skills, capabilities or resources to provide that quantitative information.","IFRS S2 19","An entity need not provide quantitative information about the current or anticipated financial effects of a climate-related risk or opportunity if the entity determines that:
- (a) those effects are not separately identifiable; or
- (b) the level of measurement uncertainty involved in estimating those effects is so high that the resulting quantitative information would not be useful.",0.45971702966178
"IFRS S2","IFRS S2 21","If an entity determines that it need not provide quantitative information about the current or anticipated financial effects of a climate-related risk or opportunity applying the criteria set out in paragraphs 19–20, the entity shall:
- (a) explain why it has not provided quantitative information;
- (b) provide qualitative information about those financial effects, including identifying line items, totals and subtotals within the related financial statements that are likely to be affected, or have been affected, by that climate-related risk or opportunity;
- (c) provide quantitative information about the combined financial effects of that climate-related risk or opportunity with other climate-related risks or opportunities and other factors unless the entity determines that quantitative information about the combined financial effects would not be useful.","IFRS S2 19","An entity need not provide quantitative information about the current or anticipated financial effects of a climate-related risk or opportunity if the entity determines that:
- (a) those effects are not separately identifiable; or
- (b) the level of measurement uncertainty involved in estimating those effects is so high that the resulting quantitative information would not be useful.",0.523602128869956
"IFRS S1","IFRS S1 38","An entity need not provide quantitative information about the current or anticipated financial effects of a sustainability-related risk or opportunity if the entity determines that:
- (a) Those effects are not separately identifiable; or
- (b) The level of measurement uncertainty involved in estimating those effects is so high that the resulting quantitative information would not be useful (see paragraphs 77–82).","IFRS S2 20","In addition, an entity need not provide quantitative information about the anticipated financial effects of a climate-related risk or opportunity if the entity does not have the skills, capabilities or resources to provide that quantitative information.",0.438655559678378
"IFRS S1","IFRS S1 39","In addition, an entity need not provide quantitative information about the anticipated financial effects of a sustainability-related risk or opportunity if the entity does not have the skills, capabilities or resources to provide that quantitative information.","IFRS S2 20","In addition, an entity need not provide quantitative information about the anticipated financial effects of a climate-related risk or opportunity if the entity does not have the skills, capabilities or resources to provide that quantitative information.",0.976286854828596
"IFRS S1","IFRS S1 40","If an entity determines that it need not provide quantitative information about the current or anticipated financial effects of a sustainability-related risk or opportunity applying the criteria set out in paragraphs 38–39, the entity shall:
- (a) Explain why it has not provided quantitative information;
- (b) Provide qualitative information about those financial effects, including identifying line items, totals and subtotals within the related financial statements that are likely to be affected, or have been affected, by that sustainability-related risk or opportunity; and
- (c) Provide quantitative information about the combined financial effects of that sustainability-related risk or opportunity with other sustainability-related risks or opportunities and other factors unless the entity determines that quantitative information about the combined financial effects would not be useful.","IFRS S2 20","In addition, an entity need not provide quantitative information about the anticipated financial effects of a climate-related risk or opportunity if the entity does not have the skills, capabilities or resources to provide that quantitative information.",0.491915712175826
"IFRS S2","IFRS S2 19","An entity need not provide quantitative information about the current or anticipated financial effects of a climate-related risk or opportunity if the entity determines that:
- (a) those effects are not separately identifiable; or
- (b) the level of measurement uncertainty involved in estimating those effects is so high that the resulting quantitative information would not be useful.","IFRS S2 20","In addition, an entity need not provide quantitative information about the anticipated financial effects of a climate-related risk or opportunity if the entity does not have the skills, capabilities or resources to provide that quantitative information.",0.45971702966178
"IFRS S2","IFRS S2 21","If an entity determines that it need not provide quantitative information about the current or anticipated financial effects of a climate-related risk or opportunity applying the criteria set out in paragraphs 19–20, the entity shall:
- (a) explain why it has not provided quantitative information;
- (b) provide qualitative information about those financial effects, including identifying line items, totals and subtotals within the related financial statements that are likely to be affected, or have been affected, by that climate-related risk or opportunity;
- (c) provide quantitative information about the combined financial effects of that climate-related risk or opportunity with other climate-related risks or opportunities and other factors unless the entity determines that quantitative information about the combined financial effects would not be useful.","IFRS S2 20","In addition, an entity need not provide quantitative information about the anticipated financial effects of a climate-related risk or opportunity if the entity does not have the skills, capabilities or resources to provide that quantitative information.",0.505492592974561
"IFRS S1","IFRS S1 38","An entity need not provide quantitative information about the current or anticipated financial effects of a sustainability-related risk or opportunity if the entity determines that:
- (a) Those effects are not separately identifiable; or
- (b) The level of measurement uncertainty involved in estimating those effects is so high that the resulting quantitative information would not be useful (see paragraphs 77–82).","IFRS S2 21","If an entity determines that it need not provide quantitative information about the current or anticipated financial effects of a climate-related risk or opportunity applying the criteria set out in paragraphs 19–20, the entity shall:
- (a) explain why it has not provided quantitative information;
- (b) provide qualitative information about those financial effects, including identifying line items, totals and subtotals within the related financial statements that are likely to be affected, or have been affected, by that climate-related risk or opportunity;
- (c) provide quantitative information about the combined financial effects of that climate-related risk or opportunity with other climate-related risks or opportunities and other factors unless the entity determines that quantitative information about the combined financial effects would not be useful.",0.487878995207664
"IFRS S1","IFRS S1 39","In addition, an entity need not provide quantitative information about the anticipated financial effects of a sustainability-related risk or opportunity if the entity does not have the skills, capabilities or resources to provide that quantitative information.","IFRS S2 21","If an entity determines that it need not provide quantitative information about the current or anticipated financial effects of a climate-related risk or opportunity applying the criteria set out in paragraphs 19–20, the entity shall:
- (a) explain why it has not provided quantitative information;
- (b) provide qualitative information about those financial effects, including identifying line items, totals and subtotals within the related financial statements that are likely to be affected, or have been affected, by that climate-related risk or opportunity;
- (c) provide quantitative information about the combined financial effects of that climate-related risk or opportunity with other climate-related risks or opportunities and other factors unless the entity determines that quantitative information about the combined financial effects would not be useful.",0.477067720184741
"IFRS S1","IFRS S1 40","If an entity determines that it need not provide quantitative information about the current or anticipated financial effects of a sustainability-related risk or opportunity applying the criteria set out in paragraphs 38–39, the entity shall:
- (a) Explain why it has not provided quantitative information;
- (b) Provide qualitative information about those financial effects, including identifying line items, totals and subtotals within the related financial statements that are likely to be affected, or have been affected, by that sustainability-related risk or opportunity; and
- (c) Provide quantitative information about the combined financial effects of that sustainability-related risk or opportunity with other sustainability-related risks or opportunities and other factors unless the entity determines that quantitative information about the combined financial effects would not be useful.","IFRS S2 21","If an entity determines that it need not provide quantitative information about the current or anticipated financial effects of a climate-related risk or opportunity applying the criteria set out in paragraphs 19–20, the entity shall:
- (a) explain why it has not provided quantitative information;
- (b) provide qualitative information about those financial effects, including identifying line items, totals and subtotals within the related financial statements that are likely to be affected, or have been affected, by that climate-related risk or opportunity;
- (c) provide quantitative information about the combined financial effects of that climate-related risk or opportunity with other climate-related risks or opportunities and other factors unless the entity determines that quantitative information about the combined financial effects would not be useful.",0.919539435069166
"IFRS S2","IFRS S2 19","An entity need not provide quantitative information about the current or anticipated financial effects of a climate-related risk or opportunity if the entity determines that:
- (a) those effects are not separately identifiable; or
- (b) the level of measurement uncertainty involved in estimating those effects is so high that the resulting quantitative information would not be useful.","IFRS S2 21","If an entity determines that it need not provide quantitative information about the current or anticipated financial effects of a climate-related risk or opportunity applying the criteria set out in paragraphs 19–20, the entity shall:
- (a) explain why it has not provided quantitative information;
- (b) provide qualitative information about those financial effects, including identifying line items, totals and subtotals within the related financial statements that are likely to be affected, or have been affected, by that climate-related risk or opportunity;
- (c) provide quantitative information about the combined financial effects of that climate-related risk or opportunity with other climate-related risks or opportunities and other factors unless the entity determines that quantitative information about the combined financial effects would not be useful.",0.523602128869956
"IFRS S2","IFRS S2 20","In addition, an entity need not provide quantitative information about the anticipated financial effects of a climate-related risk or opportunity if the entity does not have the skills, capabilities or resources to provide that quantitative information.","IFRS S2 21","If an entity determines that it need not provide quantitative information about the current or anticipated financial effects of a climate-related risk or opportunity applying the criteria set out in paragraphs 19–20, the entity shall:
- (a) explain why it has not provided quantitative information;
- (b) provide qualitative information about those financial effects, including identifying line items, totals and subtotals within the related financial statements that are likely to be affected, or have been affected, by that climate-related risk or opportunity;
- (c) provide quantitative information about the combined financial effects of that climate-related risk or opportunity with other climate-related risks or opportunities and other factors unless the entity determines that quantitative information about the combined financial effects would not be useful.",0.505492592974561
"IFRS S2","IFRS S2 9","Specifically, an entity shall disclose information to enable users of general purpose financial reports to understand:
- (a) the climate-related risks and opportunities that could reasonably be expected to affect the entity’s prospects (see paragraphs 10–12);
- (b) the current and anticipated effects of those climate-related risks and opportunities on the entity’s business model and value chain (see paragraph 13);
- (c) the effects of those climate-related risks and opportunities on the entity’s strategy and decision-making, including information about its climate-related transition plan (see paragraph 14);
- (d) the effects of those climate-related risks and opportunities on the entity’s financial position, financial performance and cash flows for the reporting period, and their anticipated effects on the entity’s financial position, financial performance and cash flows over the short, medium and long term, taking into consideration how those climate-related risks and opportunities have been factored into the entity’s financial planning (see paragraphs 15–21); and
- (e) the climate resilience of the entity’s strategy and its business model to climate-related changes, developments and uncertainties, taking into consideration the entity’s identified climate-related risks and opportunities (see paragraph 22).","IFRS S2 22","An entity shall disclose information that enables users of general purpose financial reports to understand the resilience of the entity’s strategy and business model to climate-related changes, developments and uncertainties, taking into consideration the entity’s identified climate-related risks and opportunities. The entity shall use climate-related scenario analysis to assess its climate resilience using an approach that is commensurate with the entity’s circumstances (see paragraphs B1–B18). In providing quantitative information, the entity may disclose a single amount or a range. Specifically, the entity shall disclose:
- (a) the entity’s assessment of its climate resilience as at the reporting date, which shall enable users of general purpose financial reports to understand:
      (a)i the implications, if any, of the entity’s assessment for its strategy and business model, including how the entity would need to respond to the effects identified in the climate-related scenario analysis;
      (a)ii the significant areas of uncertainty considered in the entity’s assessment of its climate resilience;
      (a)iii the entity’s capacity to adjust or adapt its strategy and business model to climate change over the short, medium and long term, including;
            (a)iii,1 the availability of, and flexibility in, the entity’s existing financial resources to respond to the effects identified in the climate-related scenario analysis, including to address climate-related risks and to take advantage of climate-related opportunities;
            (a)iii,2 the entity’s ability to redeploy, repurpose, upgrade or decommission existing assets; and
            (a)iii,3 the effect of the entity’s current and planned investments in climate-related mitigation, adaptation and opportunities for climate resilience;
- (b) how and when the climate-related scenario analysis was carried out, including: 
      (b)i information about the inputs the entity used, including:
            (b)i,1 which climate-related scenarios the entity used for the analysis and the sources of those scenarios;
            (b)i,2 whether the analysis included a diverse range of climate-related scenarios;
            (b)i,3 whether the climate-related scenarios used for the analysis are associated with climate-related transition risks or climate-related physical risks;
            (b)i,4 whether the entity used, among its scenarios, a climate-related scenario aligned with the latest international agreement on climate change;
            (b)i,5 why the entity decided that its chosen climate-related scenarios are relevant to assessing its resilience to climate-related changes, developments or uncertainties;
            (b)i,6 the time horizons the entity used in the analysis; and
            (b)i,7 what scope of operations the entity used in the analysis (for example, the operating locations and business units used in the analysis);
      (b)ii the key assumptions the entity made in the analysis, including assumptions about:
            (b)ii,1 climate-related policies in the jurisdictions in which the entity operates;
            (b)ii,2 macroeconomic trends;
            (b)ii,3 national- or regional-level variables (for example, local weather patterns, demographics, land use, infrastructure and availability of natural resources);
            (b)ii,4 energy usage and mix; and
            (b)ii,5 developments in technology; and
      (b)iii the reporting period in which the climate-related scenario analysis was carried out (see paragraph B18).",0.42344339679071
"IFRS S2","IFRS S2 12","In identifying the climate-related risks and opportunities that could reasonably be expected to affect an entity’s prospects, the entity shall refer to and consider the applicability of the industry-based disclosure topics defined in the Industry-based Guidance on Implementing IFRS S2.","IFRS S2 23","In preparing disclosures to meet the requirements in paragraphs 13–22, an entity shall refer to and consider the applicability of cross-industry metric categories, as described in paragraph 29, and industry-based metrics associated with disclosure topics defined in the Industry-based Guidance on Implementing IFRS S2 as described in paragraph 32.",0.592535878387141
"IFRS S2","IFRS S2 32","An entity shall disclose industry-based metrics that are associated with one or more particular business models, activities or other common features that characterise participation in an industry. In determining the industry-based metrics that the entity discloses, the entity shall refer to and consider the applicability of the industry-based metrics associated with disclosure topics described in the Industry-based Guidance on Implementing IFRS S2.","IFRS S2 23","In preparing disclosures to meet the requirements in paragraphs 13–22, an entity shall refer to and consider the applicability of cross-industry metric categories, as described in paragraph 29, and industry-based metrics associated with disclosure topics defined in the Industry-based Guidance on Implementing IFRS S2 as described in paragraph 32.",0.592063738667869
"IFRS S2","IFRS S2 37","In identifying and disclosing the metrics used to set and monitor progress towards reaching a target described in paragraphs 33–34, an entity shall refer to and consider the applicability of cross-industry metrics (see paragraph 29) and industry-based metrics (see paragraph 32), including those described in an applicable IFRS Sustainability Disclosure Standard, or metrics that otherwise satisfy the requirements in IFRS S1.","IFRS S2 23","In preparing disclosures to meet the requirements in paragraphs 13–22, an entity shall refer to and consider the applicability of cross-industry metric categories, as described in paragraph 29, and industry-based metrics associated with disclosure topics defined in the Industry-based Guidance on Implementing IFRS S2 as described in paragraph 32.",0.546357165169938
"IFRS S1","IFRS S1 44","To achieve this objective, an entity shall disclose information about:
- (a) The processes and related policies the entity uses to identify, assess, prioritise and monitor sustainability-related risks, including information about:
      (a)i The inputs and parameters the entity uses (for example, information about data sources and the scope of operations covered in the processes);
      (a)ii Whether and how the entity uses scenario analysis to inform its identification of sustainability-related risks;
      (a)iii How the entity assesses the nature, likelihood and magnitude of the effects of those risks (for example, whether the entity considers qualitative factors, quantitative thresholds or other criteria);
      (a)iv Whether and how the entity prioritises sustainability-related risks relative to other types of risk;
      (a)v How the entity monitors sustainability-related risks; and
      (a)vi Whether and how the entity has changed the processes it uses compared with the previous reporting period;
- (b) The processes the entity uses to identify, assess, prioritise and monitor sustainability-related opportunities; and
- (c) The extent to which, and how, the processes for identifying, assessing, prioritising and monitoring sustainability-related risks and opportunities are integrated into and inform the entity’s overall risk management process.","IFRS S2 25","To achieve this objective, an entity shall disclose information about:
- (a) the processes and related policies the entity uses to identify, assess, prioritise and monitor climate-related risks, including information about:
      (a)i the inputs and parameters the entity uses (for example, information about data sources and the scope of operations covered in the processes);
      (a)ii whether and how the entity uses climate-related scenario analysis to inform its identification of climate-related risks;
      (a)iii how the entity assesses the nature, likelihood and magnitude of the effects of those risks (for example, whether the entity considers qualitative factors, quantitative thresholds or other criteria);
      (a)iv whether and how the entity prioritises climate-related risks relative to other types of risk;
      (a)v how the entity monitors climate-related risks; and
      (a)vi whether and how the entity has changed the processes it uses compared with the previous reporting period;
- (b) the processes the entity uses to identify, assess, prioritise and monitor climate-related opportunities, including information about whether and how the entity uses climate-related scenario analysis to inform its identification of climate-related opportunities; and
- (c) the extent to which, and how, the processes for identifying, assessing, prioritising and monitoring climate-related risks and opportunities are integrated into and inform the entity’s overall risk management process.",0.894889847341754
